country,confirmed,deaths,recovered,active,population
Afghanistan,38815,1426,32098,5291,38041754
Albania,11672,340,6668,4664,2854191
Algeria,48734,1632,34385,12717,43053054
Andorra,1438,53,945,440,77142
Angola,3569,139,1332,2098,31825295
Antigua and Barbuda,95,3,91,1,97118
Argentina,577338,11852,438883,126603,44938712
Armenia,46119,920,41941,3258,2957731
Australia,26778,824,23652,2302,25364307
Austria,34305,757,27354,6194,8877067
Azerbaijan,38517,566,35998,1953,10023318
Bahamas,3032,69,1482,1481,389482
Bahrain,61643,213,54831,6599,1641172
Bangladesh,341056,4802,245594,90660,163046161
Barbados,184,7,169,8,287025
Belarus,74552,761,72661,1130,9466856
Belgium,94795,9930,18789,66076,11484055
Belize,1528,19,663,846,390353
Benin,2267,40,1942,285,11801151
Bhutan,246,0,175,71,763092
Bolivia,128286,7447,86216,34623,11513100
Bosnia and Herzegovina,23929,725,16701,6503,3301000
Botswana,2463,11,575,1877,2303697
Brazil,4382263,133119,3811505,437639,211049527
Brunei,145,3,139,3,433285
Bulgaria,18216,736,13057,4423,6975761
Burkina Faso,1733,56,1141,536,20321378
Myanmar,3636,39,832,2765,54045420
Burundi,472,1,374,97,11530580
Cabo Verde,4904,46,4294,564,549935
Cambodia,275,0,274,1,16486542
Cameroon,20271,415,18837,1019,25876380
Canada,140900,9239,123777,NA,37589262
Central African Republic,4772,62,1828,2882,4745185
Chad,1087,81,944,62,15946876
Chile,437983,12040,409944,15999,18952038
China,90235,4736,85129,370,1397715000
Colombia,728590,23288,607978,97324,50339443
Comoros,467,7,446,14,850886
"Congo, Rep.",4934,88,3887,959,5380508
"Congo, Dem. Rep.",10401,267,9817,317,86790567
Costa Rica,58137,633,21536,35968,5047561
Cote d'Ivoire,19100,120,18228,752,25716544
Croatia,13749,230,11412,2107,4067500
Cuba,4803,108,4119,576,11333483
Cyprus,1540,22,1282,236,1198575
Czech Republic,38896,476,22613,15807,10669709
Denmark,21013,633,16983,3397,5818553
Djibouti,5396,61,5331,4,973560
Dominica,24,0,18,6,71808
Dominican Republic,104803,1998,78387,24418,10738958
Ecuador,119553,10963,97063,11527,17373662
Egypt,101340,5679,85745,9916,100388073
El Salvador,27088,792,19450,6846,6453553
Equatorial Guinea,5000,83,4496,421,1355986
Estonia,2722,64,2286,372,1326590
Eswatini,5128,101,4401,626,1148130
Ethiopia,65486,1035,25988,38463,112078730
Fiji,32,2,24,6,889953
Finland,8725,339,7500,886,5520314
France,433905,31007,90816,311899,67059887
Gabon,8654,53,7785,816,2172579
Gambia,3428,105,1737,1586,2347706
Georgia,2562,19,1369,1174,3720382
Germany,265014,9367,235112,20535,83132799
Ghana,45655,294,44797,564,30417856
Greece,13730,313,1347,12070,10716322
Grenada,24,0,24,0,112003
Guatemala,82684,2984,71983,7717,16604026
Guinea,10111,63,9444,604,12771246
Guinea-Bissau,2275,39,1127,1109,1920922
Guyana,1958,58,1302,598,782766
Haiti,8530,220,6181,2129,11263077
Honduras,68620,2087,18487,48046,9746117
Hungary,13879,646,4130,9103,9769949
Iceland,2174,10,2102,62,361313
India,5020359,82066,3942360,995933,1366417754
Indonesia,225030,8965,161065,55000,270625568
Iran,407353,23453,349984,33916,82913906
Iraq,298702,8166,233346,57190,39309783
Ireland,31549,1787,23364,6398,4941444
Israel,164402,1147,120727,42528,9053300
Italy,289990,35633,214645,39712,60297396
Jamaica,4042,46,1163,2833,2948279
Japan,76446,1463,66901,8082,126264931
Jordan,3677,26,2311,1340,10101694
Kazakhstan,106984,1671,101267,4046,18513930
Kenya,36301,634,23364,12303,52573973
"Korea, Rep.",22504,367,19310,2827,51709098
Kuwait,96301,568,86219,9514,4207083
Kyrgyz Republic,44999,1063,41103,2833,6456900
Laos,23,0,22,1,7169455
Latvia,1482,35,1248,199,1912789
Lebanon,25449,252,9216,15981,6855713
Lesotho,1327,33,687,607,2125268
Liberia,1327,82,1214,31,4937374
Libya,24144,383,13252,10509,6777452
Liechtenstein,111,1,105,5,38019
Lithuania,3397,87,2094,1216,2786844
Luxembourg,7284,124,6561,599,619896
Madagascar,15803,214,14452,1137,26969307
Malawi,5701,178,3762,1761,18628747
Malaysia,9969,128,9209,632,31949777
Maldives,9328,33,7729,1566,530953
Mali,2940,128,2302,510,19658031
Malta,2454,16,1931,507,502653
Mauritania,7319,161,6839,319,4525696
Mauritius,365,10,338,17,1265711
Mexico,676487,71678,569546,35263,127575529
