race,award,winner,movie,birthplace,sexual_orientation,years_since_award,age_at_award
1,Best Director,Lewis Milestone,Two Arabian Knights,0,straight,93,32
1,Best Director,Frank Lloyd,The Divine Lady,0,straight,90,35
1,Best Director,Lewis Milestone,All Quiet on the Western Front,0,straight,89,36
1,Best Director,Norman Taurog,Skippy,1,straight,88,33
1,Best Director,Frank Borzage,Bad Girl,1,straight,87,39
1,Best Director,Frank Lloyd,Cavalcade,0,straight,86,40
1,Best Director,Frank Capra,It Happened One Night,0,straight,85,38
1,Best Director,John Ford,The Informer,1,bisexual,84,39
1,Best Director,Frank Capra,Mr. Deeds Goes to Town,0,straight,83,40
1,Best Director,Leo McCarey,The Awful Truth,1,straight,82,41
1,Best Director,Frank Capra,You Can't Take It with You,0,straight,81,42
1,Best Director,Victor Fleming,Gone with the Wind,1,straight,80,57
1,Best Director,John Ford,The Grapes of Wrath,1,bisexual,79,58
1,Best Director,John Ford,How Green Was My Valley,1,bisexual,78,59
1,Best Director,William Wyler,Mrs. Miniver,0,straight,77,60
1,Best Director,Michael Curtiz,Casablanca,0,straight,76,58
1,Best Director,Leo McCarey,Going My Way,1,straight,75,59
1,Best Director,Jerome Robbins,West Side Story,1,homosexual,58,44
1,Best Director,Billy Wilder,The Lost Weekend,0,straight,74,40
1,Best Director,William Wyler,The Best Years of Our Lives,0,straight,73,41
1,Best Director,Elia Kazan,Gentleman's Agreement,0,straight,72,42
1,Best Director,John Huston,The Treasure of the Sierra Madre,1,straight,71,43
1,Best Director,Joseph L. Mankiewicz,A Letter to Three Wives,1,straight,70,41
1,Best Director,Joseph L. Mankiewicz,All About Eve,1,straight,69,42
1,Best Director,George Stevens,A Place in the Sun,1,straight,68,48
1,Best Director,John Ford,The Quiet Man,1,bisexual,67,49
1,Best Director,Fred Zinnemann,From Here to Eternity,0,straight,66,47
1,Best Director,Elia Kazan,On the Waterfront,0,straight,65,48
1,Best Director,Delbert Mann,Marty,1,straight,64,36
1,Best Director,George Stevens,Giant,1,straight,63,53
1,Best Director,David Lean,The Bridge on the River Kwai,0,straight,62,50
1,Best Director,Vincente Minnelli,Gigi,1,bisexual,61,56
1,Best Director,William Wyler,Ben-Hur,0,straight,60,57
1,Best Director,Billy Wilder,The Apartment,0,straight,59,55
1,Best Director,Robert Wise,West Side Story,1,straight,59,47
1,Best Director,David Lean,Lawrence of Arabia,0,straight,57,55
1,Best Director,Tony Richardson,Tom Jones,0,bisexual,56,56
1,Best Director,George Cukor,My Fair Lady,1,homosexual,55,57
1,Best Director,Robert Wise,The Sound of Music,1,straight,54,52
1,Best Director,Fred Zinnemann,A Man for All Seasons,0,straight,53,60
1,Best Director,Mike Nichols,The Graduate,0,straight,52,61
1,Best Director,Joel Coen,No Country for Old Men,1,straight,12,54
1,Best Director,Carol Reed,Oliver!,0,straight,51,63
1,Best Director,John Schlesinger,Midnight Cowboy,0,homosexual,51,43
1,Best Director,Franklin J. Schaffner,Patton,0,straight,50,50
1,Best Director,William Friedkin,The French Connection,1,straight,48,37
1,Best Director,Bob Fosse,Cabaret,1,straight,47,46
1,Best Director,George Roy Hill,The Sting,1,straight,47,52
1,Best Director,Francis Ford Coppola,The Godfather Part II,1,straight,45,54
1,Best Director,Milos Forman,One Flew over the Cuckoo's Nest,0,straight,44,44
1,Best Director,John G. Avildsen,Rocky,1,straight,44,41
1,Best Director,Woody Allen,Annie Hall,1,straight,42,43
1,Best Director,Michael Cimino,The Deer Hunter,1,straight,41,44
1,Best Director,Robert Benton,Kramer vs. Kramer,1,straight,40,48
1,Best Director,Robert Redford,Ordinary People,1,straight,40,44
1,Best Director,Warren Beatty,Reds,1,straight,39,44
1,Best Director,Richard Attenborough,Gandhi,0,straight,38,59
1,Best Director,James L. Brooks,Terms of Endearment,1,straight,37,60
1,Best Director,Milos Forman,Amadeus,0,straight,35,53
1,Best Director,Sydney Pollack,Out of Africa,1,straight,34,54
1,Best Director,Oliver Stone,Platoon,1,straight,30,44
1,Best Director,Bernardo Bertolucci,The Last Emperor,0,straight,32,47
1,Best Director,Barry Levinson,Rain Man,1,straight,31,48
1,Best Director,Oliver Stone,Born on the Fourth of July,1,straight,30,44
1,Best Director,Kevin Costner,Dances with Wolves,1,straight,29,36
1,Best Director,Jonathan Demme,The Silence of the Lambs,1,straight,28,48
1,Best Director,Clint Eastwood,Unforgiven,1,straight,27,63
1,Best Director,Steven Spielberg,Schindler's List,1,straight,26,48
1,Best Director,Robert Zemeckis,Forrest Gump,1,straight,25,43
1,Best Director,Mel Gibson,Braveheart,1,straight,24,44
1,Best Director,Anthony Minghella,The English Patient,0,straight,23,45
1,Best Director,James Cameron,Titanic,0,straight,22,44
1,Best Director,Steven Spielberg,Saving Private Ryan,1,straight,21,53
1,Best Director,Sam Mendes,American Beauty,0,straight,20,54
1,Best Director,Steven Soderbergh,Traffic,1,straight,19,38
1,Best Director,Ron Howard,A Beautiful Mind,1,straight,18,39
1,Best Director,Roman Polanski,The Pianist,0,straight,17,70
1,Best Director,Peter Jackson,The Lord of the Rings: Return of the King,0,straight,16,43
1,Best Director,Clint Eastwood,Million Dollar Baby,1,straight,15,75
0,Best Director,Ang Lee,Brokeback Mountain,0,straight,14,52
1,Best Director,Martin Scorsese,The Departed,1,straight,13,65
1,Best Director,Ethan Coen,No Country for Old Men,1,straight,12,51
1,Best Director,Danny Boyle,Slumdog Millionaire,0,straight,11,53
1,Best Director,Kathryn Bigelow,The Hurt Locker,1,straight,11,58
1,Best Director,Tom Hooper,The King's Speech,0,na,9,39
1,Best Director,Michel Hazanavicius,The Artist,0,straight,8,45
0,Best Director,Ang Lee,Life of Pi,0,straight,7,59
1,Best Actor,Emil Jannings,The Last Command,0,bisexual,91,45
1,Best Actor,Warner Baxter,In Old Arizona,1,straight,90,41
1,Best Actor,George Arliss,Desraeli,0,straight,90,62
1,Best Actor,Lionel Barrymore,A Free Soul,1,straight,89,53
1,Best Actor,Wallace Beery,The Champ,1,straight,88,54
1,Best Actor,Charles Laughton,The Private Life of Henry VIII,0,homosexual,86,56
1,Best Actor,Clark Gable,It Happened One Night,1,straight,85,57
1,Best Actor,Victor McLaglen,The Informer,0,straight,84,53
1,Best Actor,Paul Muni,The Story of Louis Pasteur,0,straight,83,42
1,Best Actor,Spencer Tracy,Captains Courageous,1,straight,82,43
1,Best Actor,Spencer Tracy,Boys Town,1,straight,81,44
1,Best Actor,Robert Donat,Goodbye Mr. Chips,0,straight,80,35
1,Best Actor,Jimmy Stewart,The Philadelphia Story,1,straight,79,33
1,Best Actor,Gary Cooper,Sergeant York,1,straight,78,34
1,Best Actor,James Cagney,Yankee Doodle Dandy,1,straight,77,44
1,Best Actor,Paul Lukas,Watch on the Rhine,0,straight,76,57
1,Best Actor,Bing Crosby,Going My Way,1,straight,75,58
1,Best Actor,Ray Milland,The Lost Weekend,0,straight,74,59
1,Best Actor,Fredric March,The Best Years of Our Lives,1,straight,73,50
1,Best Actor,Ronald Colman,A Double Life,0,straight,72,51
1,Best Actor,Laurence Olivier,Hamlet,0,bisexual,71,42
1,Best Actor,Broderick Crawford,All The King's Men,1,straight,70,43
0,Best Actor,Jose Ferrer,Cyrano de Bergerac,0,straight,69,44
1,Best Actor,Humphrey Bogart,The Africa Queen,1,straight,68,53
1,Best Actor,Gary Cooper,High Noon,1,straight,67,54
1,Best Actor,William Holden,Stalag 17,1,straight,66,36
1,Best Actor,Marlon Brando,On the Waterfront,1,bisexual,65,37
1,Best Actor,Ernest Borgnine,Marty,1,straight,64,39
1,Best Actor,Yul Brynner,The King and I,0,straight,63,37
1,Best Actor,Alec Guinness,The Bridge on the River Kwai,0,bisexual,62,38
1,Best Actor,David Niven,Separate Tables,0,straight,61,39
1,Best Actor,Charlton Heston,Ben-hur,1,straight,60,40
1,Best Actor,Burt Lancaster,Elmer Gantry,1,straight,59,41
1,Best Actor,Maximilian Schell,Judgement at Nuremberg,0,straight,58,42
1,Best Actor,Gregory Peck,To Kill a Mockingbird,1,straight,57,43
0,Best Actor,Sidney Poitier,Lilies of the Field,1,straight,56,37
1,Best Actor,Rex Harrison,My Fair Lady,0,straight,55,38
1,Best Actor,Lee Marvin,Cat Ballou,1,straight,54,42
1,Best Actor,Paul Scofield,A Man For All Seasons,0,straight,53,45
1,Best Actor,Rod Steiger,In the Heat of the Night,1,straight,52,43
1,Best Actor,Cliff Robertson,Charly,1,straight,51,44
1,Best Actor,John Wayne,True Grit,1,straight,50,63
1,Best Actor,George C. Scott,Patton,1,straight,49,44
1,Best Actor,Gene Hackman,The French Connection,1,straight,48,42
1,Best Actor,Marlon Brando,The Godfather,1,bisexual,47,43
1,Best Actor,Jack Lemmon,Save the Tiger,1,straight,46,44
1,Best Actor,Art Carney,Harry and Tonto,1,straight,45,45
1,Best Actor,Jack Nicholson,One Flew Over the Cuckoo's Nest,1,straight,44,39
1,Best Actor,Peter Finch,Network,0,straight,43,61
1,Best Actor,Richard Dreyfuss,The Goodbye Girl,1,straight,42,31
1,Best Actor,Jon Voight,Coming Home,1,straight,41,41
1,Best Actor,Dustin Hoffman,Kramer vs. Kramer,1,straight,40,42
1,Best Actor,Robert De Niro,Raging Bull,1,straight,39,38
1,Best Actor,Henry Fonda,On Golden Pond,1,straight,38,77
0,Best Actor,Ben Kingsley,Gandhi,0,straight,37,40
1,Best Actor,Robert Duvall,Tender Mercies,1,straight,36,41
0,Best Actor,F. Murray Abraham,Amadeus,1,straight,35,46
1,Best Actor,William Hurt,Kiss of the Spider Woman,1,straight,34,36
1,Best Actor,Paul Newman,The Color of Money,1,straight,33,62
1,Best Actor,Michael Douglas,Wall Street,1,straight,32,44
1,Best Actor,Dustin Hoffman,Rainman,1,straight,31,45
1,Best Actor,Daniel Day-Lewis,My Left Foot,0,straight,30,33
1,Best Actor,Jeremy Irons,Reversal of Fortune,0,straight,29,43
1,Best Actor,Anthony Hopkins,Silence of the Lambs,0,straight,28,55
1,Best Actor,Al Pacino,Scent of a Woman,0,straight,27,53
1,Best Actor,Tom Hanks,Philadelphia,1,straight,26,54
1,Best Actor,Tom Hanks,Forrest Gump,1,straight,25,55
1,Best Actor,Nicolas Cage,Leaving Las Vegas,1,straight,24,56
1,Best Actor,Geoffrey Rush,Shine,0,straight,23,57
1,Best Actor,Jack Nicholson,As Good as It Gets,1,straight,23,60
1,Best Actor,Roberto Benigni,Life is Beautiful,0,straight,21,47
1,Best Actor,Kevin Spacey,American Beauty,1,na,20,41
1,Best Actor,Russell Crowe,Gladiator,0,straight,19,42
0,Best Actor,Denzel Washington,Training Day,1,straight,18,48
1,Best Actor,Adrien Brody,The Pianist,1,straight,17,30
1,Best Actor,Sean Penn,Mystic River,1,straight,17,43
0,Best Actor,Jamie Foxx,Ray,1,straight,15,38
1,Best Actor,Philip Seymour Hoffman,Capote,1,straight,14,39
0,Best Actor,Forest Whitaker,The Last King of Scotland,1,straight,13,46
1,Best Actor,Daniel Day-Lewis,There Will Be Blood,0,straight,12,51
1,Best Actor,Sean Penn,Milk,1,straight,11,49
1,Best Actor,Jeff Bridges,Crazy Heart,1,straight,10,50
1,Best Actor,Colin Firth,The King's Speech,0,straight,9,51
1,Best Actor,Jean Dujardin,The Artist,0,straight,8,40
1,Best Actor,Daniel Day-Lewis,Lincoln,0,straight,7,56
1,Best Actor,Matthew McConaughey,Dallas Buyers Club,1,straight,6,57
1,Best Supporting Actor,Walter Brennan,Come and Get It,1,straight,82,44
1,Best Supporting Actor,Joseph Schildkraut,The Life of Emile Zola,0,straight,82,42
1,Best Supporting Actor,Walter Brennan,Kentucky,1,straight,81,45
1,Best Supporting Actor,Thomas Mitchell,Stagecoach,1,straight,80,48
1,Best Supporting Actor,Walter Brennan,The Westerner,1,straight,79,47
1,Best Supporting Actor,Donald Crisp,How Green Was My Valley,0,straight,78,62
1,Best Supporting Actor,Van Heflin,Johnny Eager,1,straight,77,33
1,Best Supporting Actor,Charles Coburn,The More the Merrier,1,straight,76,67
1,Best Supporting Actor,Barry Fitzgerald,Going My Way,0,na,75,57
1,Best Supporting Actor,James Dunn,A Tree Grows in Brooklyn,1,straight,74,58
1,Best Supporting Actor,Harold Russell,The Best Years of Our Lives,0,straight,73,33
1,Best Supporting Actor,Edmund Gwenn,Miracle on 34th Street,0,na,72,73
